"orthography_phonology","word_1","word_2","does_rhyme","syllables_word_1","syllables_word_2","word_1_frequency","word_2_frequency","CV_word_1","CV_word_2","stim1","stim2","condition","stim1_correct","is_null","isi"
"eq_phon_dif_orth","soleil","oreille",1,2,2,123.34,73.54,"CVCVVC","VCVVCCV","soleil","oreille","eq-phon-dif-orth",1,0,500
"eq_phon_dif_orth","mère","paire",1,2,2,686.79,21.59,"CVCV","CVVCV","mère","paire","eq-phon-dif-orth",1,0,500
"eq_phon_eq_orth","carte","tarte",1,2,2,144.96,13.04,"CVCCV","CVCCV","carte","tarte","eq-phon-eq-orth",1,0,500
"dif_phon_dif_orth","linge","nièce",0,2,2,17.04,10.1,"CVCCV","CVVCV","linge","nièce","dif-phon-dif-orth",0,0,500
"dif_phon_dif_orth","boîte","fleur",0,2,1,88.81,99.75,"CVVCV","CCVVC","boîte","fleur","dif-phon-dif-orth",0,0,500
"dif_phon_dif_orth","papier","chaise",0,2,2,120.51,40.02,"CVCVVC","CCVVCV","papier","chaise","dif-phon-dif-orth",0,0,500
"eq_phon_dif_orth","train","pin",1,1,1,255.28,5.06,"CCVVC","CVC","train","pin","eq-phon-dif-orth",1,0,500
"eq_phon_dif_orth","eau","haut",1,1,1,305.74,77.86,"VVV","CVVC","eau","haut","eq-phon-dif-orth",1,0,500
"eq_phon_eq_orth","peau","seau",1,1,1,87.47,9.01,"CVVV","CVVV","peau","seau","eq-phon-eq-orth",1,0,500
"dif_phon_eq_orth","virus","intrus",0,2,2,23.98,4.35,"CVCVC","VCCCVC","virus","intrus","dif-phon-eq-orth",0,0,500
"dif_phon_dif_orth","copie","lacet",0,2,2,25.7,4.4,"CVCVV","CVCVC","copie","lacet","dif-phon-dif-orth",0,0,500
"dif_phon_eq_orth","cours","ours",0,1,1,146.5,24.57,"CVVCC","VVCC","cours","ours","dif-phon-eq-orth",0,0,500
"eq_phon_eq_orth","joue","roue",1,1,1,32.28,21.87,"CVVV","CVVV","joue","roue","eq-phon-eq-orth",1,0,500
"dif_phon_dif_orth","signe","chasse",0,2,2,82.73,47.99,"CVCCV","CCVCCV","signe","chasse","dif-phon-dif-orth",0,0,500
"eq_phon_eq_orth","ciel","miel",1,1,1,142.32,17.36,"CVVC","CVVC","ciel","miel","eq-phon-eq-orth",1,0,500
"dif_phon_dif_orth","trace","crème",0,2,2,60.18,20.61,"CCVCV","CCVCV","trace","crème","dif-phon-dif-orth",0,0,500
"eq_phon_eq_orth","rouille","fouille",1,2,2,1.97,5,"CVVVCCV","CVVVCCV","rouille","fouille","eq-phon-eq-orth",1,0,500
"dif_phon_dif_orth","fort","vitre",0,1,2,95.28,16.35,"CVCC","CVCCV","fort","vitre","dif-phon-dif-orth",0,0,500
