"orthography_phonology","word_1","word_2","does_rhyme","syllables_word_1","syllables_word_2","word_1_frequency","word_2_frequency","CV_word_1","CV_word_2","stim1","stim2","condition","stim1_correct","is_null","isi"
"example_instruction","début","zut",0,2,1,114.31,"na","CVCVC","CVC","début","zut","example-instruction",0,0,500
"example_instruction","cas","sport",0,1,1,280.59,"30.04","CVC","CCVCC","cas","sport","example-instruction",0,0,500
"example_instruction","terre","fer",1,2,1,294.45,"37.08","CVCCV","CVC","terre","fer","example-instruction",1,0,500
"example_instruction","local","bocal",1,2,2,5.78,"3.83","CVCVC","CVCVC","local","bocal","example-instruction",1,0,500
